-4.397331871922426139e+00,-1.591269366830943222e+00,1.563101297936094203e-01
-2.170016152063263259e+00,-1.547366792816245118e+00,1.509217076973889959e-01
-6.413780713036164594e-01,-1.521637924271948217e+00,8.608045371690921377e-02
-7.230684267474443705e-02,-1.487723952139916150e+00,-5.546231463761283620e-02
-2.356497197594359660e-01,-1.405487362301313103e+00,-2.566134105239950003e-01
-7.216673326270850453e-01,-1.277525355317087996e+00,-4.738754494510765691e-01
-1.219970417137780094e+00,-1.147108900374789409e+00,-6.508729766970429154e-01
-1.601262613827921344e+00,-1.050239056172749930e+00,-7.360296263476324707e-01
-1.840927648273420258e+00,-9.777415067943970861e-01,-7.012214189721315272e-01
-1.924914383679964702e+00,-8.822982988392957804e-01,-5.522722496985076335e-01
-1.825053363653595273e+00,-7.175515115850757963e-01,-3.240859878491565427e-01
-1.531650978576627908e+00,-4.722590628422569381e-01,-6.379446476590229509e-02
-1.085213286093370089e+00,-1.750156580566006870e-01,1.870792033407506771e-01
-5.707565546470009243e-01,1.267262308312572250e-01,4.027735741274106607e-01
-8.185812500327424579e-02,3.923790709647089758e-01,5.742844209290258739e-01
3.158237363599148417e-01,6.015479054547807625e-01,7.044126130362845517e-01
5.993639595752193738e-01,7.526367861365483858e-01,8.010097851731805552e-01
7.802597777997694051e-01,8.545638824882827445e-01,8.717802032603519935e-01
8.857935047163800757e-01,9.193179627723702119e-01,9.222647204719686131e-01
9.433637887843131509e-01,9.580328357635448100e-01,9.563863009051342123e-01
-6.087388910255139507e+00,-6.342806298076643756e+00,-7.564511214465503564e+00
-3.389718584417223735e+00,-6.381358690990495575e+00,-8.692737098207686586e+00
-2.804303540193204380e+00,-6.600662167963752935e+00,-9.906516305877024919e+00
-3.970148484474043560e+00,-7.000733540540488242e+00,-1.094652452923719999e+01
-5.614261172326883376e+00,-7.389028227393619197e+00,-1.146638620399961894e+01
-6.539336548894024936e+00,-7.520408948061704457e+00,-1.122339573300927285e+01
-6.319540502640394131e+00,-7.245104128784303654e+00,-1.019914679528194590e+01
-5.315741645928351744e+00,-6.583817674605692005e+00,-8.602219248264219686e+00
-4.199805893828485459e+00,-5.700300764794990371e+00,-6.776867898575064331e+00
